IDDate,ID,Date,DatePlus15,Week,Rank,Total GR,Total GR Rec,Total GR Given,GR AF,TotalKnownDuration,FreqTotalGR,FreqGRRec,FreqGRGiven,FreqGRAF,5mAF,5mAllAdults,Scansperday,FreqAFProx,FreqAllAdultProx
0J12/5/2015,0J1,2/5/15,2/20/15,6,18,0:00:00,0:00:00,0:00:00,0:00:00,0:15:32,0,0,0,0,3,5,3,1,1.666666667
0J12/9/2015,0J1,2/9/15,2/24/15,7,18,0:11:19,0:11:19,0:00:00,0:00:00,0:30:15,0.374104683,0.374104683,0,0,9,11,7,1.285714286,1.571428571
0J13/10/2015,0J1,3/10/15,3/25/15,11,18,0:00:00,0:00:00,0:00:00,0:00:00,0:31:42,0,0,0,0,11,13,6,1.833333333,2.166666667
0J13/11/2015,0J1,3/11/15,3/26/15,11,18,0:05:24,0:05:24,0:00:00,0:01:10,1:03:20,0.085263158,0.085263158,0,0.018421053,15,27,13,1.153846154,2.076923077
0J13/16/2015,0J1,3/16/15,3/31/15,12,18,0:00:00,0:00:00,0:00:00,0:00:00,1:01:03,0,0,0,0,54,66,12,4.5,5.5
0J13/17/2015,0J1,3/17/15,4/1/15,12,18,0:10:33,0:10:06,0:00:27,0:00:00,1:01:37,0.171219908,0.163916689,0.007303219,0,20,28,14,1.428571429,2
0J13/23/2015,0J1,3/23/15,4/7/15,13,18,0:18:14,0:02:20,0:15:54,0:18:14,1:02:19,0.292591602,0.037443167,0.255148435,0.292591602,29,37,14,2.071428571,2.642857143
0J13/26/2015,0J1,3/26/15,4/10/15,13,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,12,15,7,1.714285714,2.142857143
0J13/3/2015,0J1,3/3/15,3/18/15,10,18,0:04:18,0:00:00,0:04:18,0:04:18,0:32:16,0.133264463,0,0.133264463,0.133264463,6,8,7,0.857142857,1.142857143
0J13/30/2015,0J1,3/30/15,4/14/15,14,18,0:02:53,0:00:00,0:02:53,0:02:53,0:30:37,0.094175286,0,0.094175286,0.094175286,11,13,7,1.571428571,1.857142857
0J13/31/2015,0J1,3/31/15,4/15/15,14,18,0:01:14,0:01:14,0:00:00,0:00:00,0:30:16,0.040748899,0.040748899,0,0,17,19,7,2.428571429,2.714285714
0J13/4/2015,0J1,3/4/15,3/19/15,10,18,0:00:13,0:00:13,0:00:00,0:00:13,0:31:35,0.006860158,0.006860158,0,0.006860158,6,9,6,1,1.5
0J13/5/2015,0J1,3/5/15,3/20/15,10,18,0:06:19,0:02:47,0:03:32,0:00:00,1:01:03,0.103467103,0.045591046,0.057876058,0,21,24,12,1.75,2
0J13/9/2015,0J1,3/9/15,3/24/15,11,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:16,0,0,0,0,10,19,7,1.428571429,2.714285714
0J14/13/2015,0J1,4/13/15,4/28/15,16,18,0:00:45,0:00:00,0:00:45,0:00:00,1:01:11,0.01225824,0,0.01225824,0,52,65,14,3.714285714,4.642857143
0J14/15/2015,0J1,4/15/15,4/30/15,16,18,0:07:00,0:07:00,0:00:00,0:00:00,0:30:00,0.233333333,0.233333333,0,0,27,31,6,4.5,5.166666667
0J14/16/2015,0J1,4/16/15,5/1/15,16,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:05,0,0,0,0,8,13,7,1.142857143,1.857142857
0J14/2/2015,0J1,4/2/15,4/17/15,14,18,0:02:36,0:02:36,0:00:00,0:00:00,0:31:44,0.081932773,0.081932773,0,0,16,20,7,2.285714286,2.857142857
0J14/20/2015,0J1,4/20/15,5/5/15,17,18,0:02:44,0:02:44,0:00:00,0:00:00,1:01:07,0.044723207,0.044723207,0,0,23,38,14,1.642857143,2.714285714
0J14/21/2015,0J1,4/21/15,5/6/15,17,18,0:00:10,0:00:00,0:00:10,0:00:10,0:19:44,0.008445946,0,0.008445946,0.008445946,0,3,4,0,0.75
0J14/22/2015,0J1,4/22/15,5/7/15,17,18,0:04:57,0:04:33,0:00:24,0:00:24,0:30:12,0.163907285,0.150662252,0.013245033,0.013245033,9,13,7,1.285714286,1.857142857
0J14/23/2015,0J1,4/23/15,5/8/15,17,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:31,0,0,0,0,7,12,7,1,1.714285714
0J14/6/2015,0J1,4/6/15,4/21/15,15,18,0:17:05,0:14:12,0:02:53,0:07:14,1:01:22,0.278381315,0.23139598,0.046985334,0.117870722,42,55,14,3,3.928571429
0J14/7/2015,0J1,4/7/15,4/22/15,15,18,0:04:11,0:04:11,0:00:00,0:00:00,1:00:38,0.068993953,0.068993953,0,0,5,26,13,0.384615385,2
0J82/10/2015,0J8,2/10/15,2/25/15,7,32,0:00:00,0:00:00,0:00:00,0:00:00,0:29:55,0,0,0,0,2,4,7,0.285714286,0.571428571
0J82/18/2015,0J8,2/18/15,3/5/15,8,32,0:07:38,0:05:10,0:02:28,0:00:50,0:31:14,0.244397012,0.165421558,0.078975454,0.026680896,0,6,7,0,0.857142857
0J82/19/2015,0J8,2/19/15,3/6/15,8,32,0:07:55,0:07:55,0:00:00,0:00:00,0:30:31,0.259421081,0.259421081,0,0,0,1,6,0,0.166666667
