"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"36","4I842040",73,"4I8",2015-02-05,2,"11:00 AM","JH","10/21/16",10,390,40,78.419,3136.76,0.191,10,1.91,415.82599,0.307692308
"37","8B542040",74,"8B5",2015-02-05,2,"8:44 AM","LR","10/21/16",10,390,40,21.119,844.76,0.141,10,1.41,151.69733,0.423076923
"38","6I142041",76,"6I1",2015-02-06,2,"1:55 PM","LR","10/21/16",10,390,40,11.975,479,0.034,10,0.34,356.71412,0.365384615
"39","5B242044",77,"5B2",2015-02-09,2,"2:08 PM","LR","10/21/16",10,390,40,12.657,506.28,0.071,10,0.71,180.54943,0.153846154
"40","5G242044",78,"5G2",2015-02-09,2,"7:42 AM","LR","10/21/16",10,390,40,5.722,228.88,0.073,10,0.73,79.38687,0.596153846
"41","0J042044",80,"0J0",2015-02-09,2,"9:50 AM","LR","12/5/16",10,90,10,12.647,126.47,0.014,10,0.14,228.73003,0.384615385
"42","3I242044",81,"3I2",2015-02-09,2,"9:05 AM","CR","12/5/16",5,195,40,11.12,444.8,0.112,10,1.12,100.55657,0.269230769
"43","6H242044",82,"6H2",2015-02-09,2,"10:32 AM","CR","10/21/16",10,390,40,5.143,205.72,0.03,10,0.3,173.62768,0.326923077
"44","1E542044",83,"1E5",2015-02-09,2,"12:32 PM","CR","10/21/16",10,390,40,4.833,193.32,0.025,10,0.25,195.7945,0.480769231
"45","3I342044",84,"3I3",2015-02-09,2,"1:55 PM","CR","10/21/16",10,390,40,80.089,3203.56,0.058,40,2.32,349.62991,0.230769231
"46","8D642045",85,"8D6",2015-02-10,2,"10:50 AM","CR","12/5/16",10,190,20,9.519,190.38,0.014,10,0.14,344.31583,0.461538462
"47","0J142046",86,"0J1",2015-02-11,2,"10:15 AM","LR","10/21/16",10,390,40,5.199,207.96,0.015,10,0.15,351.03648,0.346153846
"48","6I142046",87,"6I1",2015-02-11,2,"10:51 AM","JH","12/5/16",10,90,10,10.549,105.49,0.014,10,0.14,190.7862,0.365384615
"49","0J142051",88,"0J1",2015-02-16,2,"8:25 AM","CR","10/21/16",10,390,40,3.079,123.16,0.017,10,0.17,183.43595,0.346153846
